companyID,name,headquarters,revenue,size,type,website,yearFounded,AgeinYears
200001,Cyient,"Hyderābād, India",$100 to $500 million (USD),10000+ Employees,Company - Public,www.cyient.com,1991,31
200002,Sprouts Farmers Market,"Phoenix, AZ",$2 to $5 billion (USD),10000+ Employees,Company - Public,www.sprouts.com,2002,20
200003,"Davidson Technologies, Inc.","Huntsville, AL",$25 to $50 million (USD),201 to 500 Employees,Company - Private,www.davidson-tech.com,1996,26
200004,Gradient AI,"Boston, MA",Unknown / Non-Applicable,51 to 200 Employees,Company - Private,www.gradientai.com,2018,4
200005,"Vizient, Inc.","Irving, TX",$500 million to $1 billion (USD),1001 to 5000 Employees,Company - Private,www.vizientinc.com,1977,45
200006,OneAZ Credit Union,"Phoenix, AZ",$10 to $25 million (USD),201 to 500 Employees,Nonprofit Organization,www.oneazcu.com,1951,71
200007,Delta,"Atlanta, GA",$10+ billion (USD),10000+ Employees,Company - Public,www.delta.com/us/en/careers/overview,1928,94
200008,"Lexmark International, Inc.","Lexington, KY",$2 to $5 billion (USD),10000+ Employees,Company - Private,www.lexmark.com,1991,31
200009,The Coca-Cola Company,"Atlanta, GA",$10+ billion (USD),10000+ Employees,Company - Public,www.coca-colacompany.com,1886,136
200010,Twitch,"San Francisco, CA",Unknown / Non-Applicable,1001 to 5000 Employees,Subsidiary or Business Segment,www.twitch.tv,2011,11
200011,PlayStation Global,"San Mateo, CA",$10+ billion (USD),5001 to 10000 Employees,Subsidiary or Business Segment,www.playstation.com/en-gb/corporate/playstation-careers,1994,28
200012,Avatar Securities,"New York, NY",Unknown / Non-Applicable,51 to 200 Employees,Company - Private,https://avatarsecurities.com/,2008,14
200013,PayPal,"San Jose, CA",$10+ billion (USD),10000+ Employees,Company - Public,www.paypal.com,1998,24
200014,Beyond Finance,"Houston, TX",Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,www.beyondfinance.com,2016,6
200015,Peraton,"Herndon, VA",$5 to $10 billion (USD),10000+ Employees,Company - Private,www.peraton.com,2017,5
200016,SmartAsset,"New York, NY",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,www.smartasset.com,2012,10
200017,Cutera,"Brisbane, CA",$100 to $500 million (USD),201 to 500 Employees,Company - Public,www.cutera.com,1998,24
200018,Paramount,"Atlanta, GA",$1 to $5 million (USD),1 to 50 Employees,Company - Private,www.hireparamount.com,1998,24
200019,Accenture Federal Services,"Fairfax, VA",$100 to $500 million (USD),1001 to 5000 Employees,Subsidiary or Business Segment,www.asmr.com,1975,47
200020,IBM,"Armonk, NY",$10+ billion (USD),10000+ Employees,Company - Public,www.ibm.com,1911,111
200021,WorkCog,"Frisco, TX",Unknown / Non-Applicable,51 to 200 Employees,Company - Private,www.workcog.com,2017,5
200022,NIKE INC,"Beaverton, OR",$10+ billion (USD),10000+ Employees,Company - Public,jobs.nike.com,1972,50
200023,VillageMD,"Chicago, IL",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,www.villagemd.com,2013,9
200024,MasterCard,"Purchase, NY",$5 to $10 billion (USD),10000+ Employees,Company - Public,www.mastercard.com,1966,56
200025,The Home Depot,"Atlanta, GA",$10+ billion (USD),10000+ Employees,Company - Public,www.homedepot.com,1978,44
