jobPostingID,datePosted,companyID,jobID,companyDetails/industry/sectorID,SkillsetID,employerRating,jobLocation,salary/min,salary/max,salary/avg,salary/payPeriod,salary/source,url
1000001,2021-04-19T00:00:00.000Z,200001,400001,300001,600001,3,"Phoenix, AZ",64445,126150,95297.5,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/data-scientist-cyient-JV_IC1133904_KO0,14_KE15,21.htm?jl=1007010765463&pos=106&ao=1110586&s=58&guid=0000017fb716cb9aa986bbc2042eb71b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_836f1a20&cb=1648044199521&jobListingId=1007010765463&cpc=5B877AD962FD223B&jrtk=3-0-1furhdj36r09l801-1furhdj3fghpq800-b84b86e9c646138b--6NYlbfkN0BHWGz48TIuZePriohsFgAoXDLVIgtHV7KDVn4HcV5WT-9tciw8HnKaFcILxB3sPBb1KP15MK4iRx-Z-cC9SBncnj8754hLCnuBbElyNC-i6mvebbWruLjpUj7IpW25KJzjEDRgD4ffXFiu0XO96P2EY1YlC51qCISXF3dYSc5kb_b-SNMB6vy6zLS32wBqVboofAtfZF-BebzR3qLDtwpgf3K5rWVcNuL5lsIi98OOwH2gjlseDUFN_Ut0fif-Y67vFucnR4y0VkigyjM1DwiGSHg3ojJQhpJ8EDoP-9Zf40WDnyoUOafnfDajPOkwqS2ksDbBzM3hAFptvVsxqoqcgi4oZD_i0JhdiNuKN7hoco5tfbuApK71AeXwpRmdiMM8cxq-n9VIhE3DMhWI-g-9Pwc3URZo_d1kZJkqd0CEq8q8u-5a7U3nY5If1nkPQaZ19mAupsmPDCzBvY79Bn8Rb3_mi0fmU4bKguCjP3yIxZgBJ-e2uOkE&ctt=1648044356920"
1000002,2021-09-30T00:00:00.000Z,200002,400001,300002,600002,3,"Phoenix, AZ",69394,125965,97679.5,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/data-scientist-sprouts-farmers-market-JV_IC1133904_KO0,14_KE15,37.htm?jl=1007337331786&pos=104&ao=1110586&s=58&guid=0000017fb716cb9aa986bbc2042eb71b&src=GD_JOB_AD&t=SR&vt=w&cs=1_3945e370&cb=1648044199520&jobListingId=1007337331786&cpc=E509DD49A6927373&jrtk=3-0-1furhdj36r09l801-1furhdj3fghpq800-16c8d2198c6d06b9--6NYlbfkN0B0E4SmdTpevv-DSzy9VM1Aj5o2eiN6aeRSK3sUmt1PdePUO1Ndbs4JgGgoKVokJTg5DPp0nqsNRUDoNsyY79xu16v14PYiwWRe4N33GU33y4eWf9lk8_HUZ_DvWr5fw5FqTxATM70uostHLVzviUNQvTEkygUdEmYLR6x7pp_5RSgur6b2TrACABqCIhCCpl3-BH44pI0pSmZY85GRshe63V9kVfoz9Ie0ofb8j6iD6pMokYRP4DJazsGB37fR6Bj0S7G2poChBAcJ_2ZIuo0u_Q6JCM8VGyjmcVQqi1KBhopBHr5DtkBwfjWQXeKE75IpXyjWT1WdZd2quoi2Gx3VlxkxlVsqm9LcSgucuqPTEKW_ce4WQ--7N2b_iA1Mx7mhsanfutYAeoCzJJQT4CHAk8fLWMNUuroJFJzFEfZzsCmQOPGuEXGDQKs3HhtCjoWizkeMsltxIip8RKhF26jG7S5Z6MkQvu-j4jJBeR_OXBe35vtM_PlfoWrC6os7VOTyFfuWI9tiMrxYF5vqdTxV5PI0v6ZIZVVPyA7FbSesYd-GuJucnjkOqcTO2uv3Kln8uPm-ohvavCSOGdPxz0_nDfSrDRGVUZ0Hu6kcTIgROpPVbwEAB1bIic34g9MYOU2CLC7gyy8U6nhtKX9cAe8Lk67wwqSaZT33sD6f3fHDsdEMcTKODUOcoijFVtu5Lu5uBheTchWNdSfEK5_IGxLIBbiPhzC2tns11CboejdVdpdUuDmhfCRphvrZckFLkVi_1AHrKZKHM3mRXxQxEZsh&ctt=1648044356972"
1000003,2021-11-14T00:00:00.000Z,200003,400001,300003,600003,4,"Huntsville, AL",100000,200000,150000,ANNUAL,EMPLOYER_PROVIDED,"https://www.glassdoor.com/job-listing/data-scientist-davidson-technologies-JV_IC1127653_KO0,14_KE15,36.htm?jl=1007438089037&pos=109&ao=1110586&s=58&guid=0000017fb716cb9aa986bbc2042eb71b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_87cef493&cb=1648044199521&jobListingId=1007438089037&cpc=F1339989C5CB8906&jrtk=3-0-1furhdj36r09l801-1furhdj3fghpq800-70050837f54bb5ac--6NYlbfkN0BlwOEXHE7gmYKmMnJkxQrCzsxvHWcqEIuelULxK8sop3cdtx221roHF6DdSz9A1QnWCKoSim5ybftI6NBkJjAHj0nbPJbSJDfZVABXh0wVH0Xlwhet63xPs1B7WENRmlg8VJM1D1Mw1lTmfDbM6dK9Nzma6zIHIKAW-rz79igWNJnIWGsvZuI152p-DiNqw0H83huZpE-_OXVDu2UfLA-cTxHrSJJzausgdBXd5woZxqHZf3beC3SkTcldTPRX7MK6xyBXxUDJhj-1s-ooNLRujYloDCuk_unGK6tbaIyOPwmOXPRj_r7ZxV7fSqdx5GNkr5iUaQs64k4nvXYKqF_d2nMYPJJhWppB-U-b2hq0c-agYodJ0sofPRbcjdECDatculerCuXxIb5x1IPaWVwxcgoUNyoTxz9SWzvqmd7WaaMaN1CGXfN5n7rmlpFPcKYAeltRAYNdqfMOw6-yiH2FVjYpP0KsqLwd1QOUk6NLAn7ARWpqIvfb&ctt=1648044359239"
1000004,2022-03-11T00:00:00.000Z,200004,400002,300001,600004,5,"Boston, MA",130000,185000,157500,ANNUAL,EMPLOYER_PROVIDED,"https://www.glassdoor.com/job-listing/staff-data-scientist-gradient-ai-JV_IC1154532_KO0,20_KE21,32.htm?jl=1007708370619&pos=118&ao=1110586&s=58&guid=0000017fb716cb9aa986bbc2042eb71b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5e674331&cb=1648044199522&jobListingId=1007708370619&cpc=AECEB822CA110EBC&jrtk=3-0-1furhdj36r09l801-1furhdj3fghpq800-fabad1afcc0e5470--6NYlbfkN0DdNONLqhA8z6QrX6vw37qu8cGScUjPKwqVQr3YAsb4-z51z2mKKqeEwqQEzg9Z6kPFsyZ1q4pGv9HkNv9jEB_fytq4hIzGF7w8-hoZgERuEHY8_0zRAuIT-Y4Y2dTmtpDyibzNfTYxOBE1h0oOFcigr_ipd6j6Ns2xhoHJLc6ySPvprPiyWVqF6J_0ry0VYTLmXyeCnpZ-gS1Sg9kgLeu4exLQhMq2Q5RclSFm7fWEPp6SZfYTjg0TXfZd3fr-D0qMVNV4TnGbXDaPwWBsQwDSeN54IBmoUDZO_QrE-8KCZ7DrA8AB0LOv6-B6lUiXpaZbBnVuVcu9zk8Ug0QtEENQJrsq5Gv0jAoSByGbe0_TUM9WuYsCdQD5KkeLNQ7iNdLeu6GmcPY39GZxaeKb_TzJc8VTPbz5SpbngxJbFZXBPvQ_gMEJincREAh0xyNV8dCgCgh8Sm-hFh4mUZHwDuwFXkuaKPu3XIbGi8MjZbRrWXdamTn4jW6d&ctt=1648044363840"
1000005,2021-02-05T00:00:00.000Z,200005,400003,300004,600005,4,Remote,102400,152200,127300,ANNUAL,EMPLOYER_PROVIDED,"https://www.glassdoor.com/job-listing/clinical-data-scientist-vizient-JV_KO0,23_KE24,31.htm?jl=1006880173775&pos=120&ao=1110586&s=58&guid=0000017fb716cb9aa986bbc2042eb71b&src=GD_JOB_AD&t=SR&vt=w&cs=1_f070c684&cb=1648044199522&jobListingId=1006880173775&cpc=59DEFF8D475298C3&jrtk=3-0-1furhdj36r09l801-1furhdj3fghpq800-b482a789d0c3e539--6NYlbfkN0CE6h5qDhqqZU9zXYA9EIA8zO15Weobg6hxnf6fsUw41Tr80O9POMJRqc9Q2uB2vGQPZ-2owaAm4tAQIGBuOpP3RrInuy2Gp8Uu6RbPYUjwXvZwjop3vzJh6GZZ4-nNzE4CNfWVkQFZiRb4OTGQ7WL-9br-n9rMr_8U3FUmHnyrVtnaLnR8JEg7xNl0edE0rS2g83fGBIu1N42rka19rLS43_k-Fxy1LjZB2fsbC9_WehSKcN9m3NturQqgrZrV4u23ytdSuDDmFlWDmQkkuCbuGpE07D74yMXMh7bAphACeBQkCYZz2CC5-VAQqZDlw-eFMUX_goiR0fyuzB7h1z2E1Lb01CQy9OPtuZFlGWP8LdEL-DkyFBTBoXKi4dGoO4fHPuoNrO3yeGsmnCFcQihjauphl1w6Wt0DW_KGDm9zO3B1e9kUvtpoC4u3mEOFVA6bmbdjf5kzYDCdA1we17GdZRK15Jr-JJ86FSeNYGKz19-OEdAi2UX9wYprM_A6blBZAtr47l_-DabM9dd0MagULG5ONN9RkgyWnpmEM19euIbuDFzALQ_7&ctt=1648044364439"
1000006,2022-01-03T00:00:00.000Z,200006,400001,300005,600006,4,"Phoenix, AZ",68078,123129,95603.5,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/data-scientist-oneaz-credit-union-JV_IC1133904_KO0,14_KE15,33.htm?jl=1007541219108&pos=129&ao=1110586&s=58&guid=0000017fb716cb9aa986bbc2042eb71b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_96f610fc&cb=1648044199524&jobListingId=1007541219108&cpc=F5E96E35A1725171&jrtk=3-0-1furhdj36r09l801-1furhdj3fghpq800-e6f46295c67dfb1e--6NYlbfkN0C3VJ3FNuRN-7wFe4YqITZX3PgOYy2BxjGUNf_9VWwxcOZ01M3o02VX22CyaJyI2agHJKaQ323-8e6snpSZMS87CNqDlwFCB44MDKHH5kuOnFbGaNiYG_EOjAfkJyDiwDYWlzfKLi3u9j1ebXYv_cYjbC96Kbtg72nXq2AJmmVAGrMQiyHSzYCijM7Xn73Ey_85Y7aeZigzXGCKESTKTV1VA_N6FcSIhmArvpWJwRb6xz1QB9fHXw2O5r0fYZfbetlC-wrqh5-Fh0UcNdHRgsngaf029TVAFobkhl42tl5VSrHrJNZ4d9tJBY4flHLN9ZH42G1XS8VYawdaCYoymuFZPRM7B6D0GWc24BnOi_sPmZnWcpa1fsEiwpePgZorqnTYn0qE0oWH3yhV5O0VKlLnmmKK3wYIJmKpP8RmOfK7PObEewVu8ay2HgAlPchUCBU7jUpM936whB10ys-iIGT-Kc4HJpKEksAKG5GSXNnvlDyE4j7-fHXtWiS_-eUedbDtwTV30UW8FA847RKgCsfEJ7qV775FeBR61dBNFSzmwiuCp7intoXutLEzrn703vC41V8mQNXsxD2pxY-_mb2XX-Bcv_PtehSRlUiNYbkXElJzis3QaMCxK3nKTIgJQgYPyXTNU8Pa3soCGwwfrIbV2xy_piNXLIdjRYUoHHSgZEhwF6_xU5wl5tWI0E-zxTbDNQmi8d4SXoJ3qv1MAbsoWE65uTIAcFf2HvxsM7t-54rjwSqBoPPI7-nIPSYTyQscckhJdbkHrA==&ctt=1648044368981"
1000007,2022-03-23T00:00:00.000Z,200007,400004,300006,600007,4,"Atlanta, GA",77836,144938,111387,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/senior-data-scientist-operations-decision-science-delta-JV_IC1155583_KO0,49_KE50,55.htm?jl=1007736054539&pos=212&ao=1110586&s=58&guid=0000017fb716dc0a9500f7c854736cd4&src=GD_JOB_AD&t=SR&vt=w&cs=1_79985597&cb=1648044203522&jobListingId=1007736054539&cpc=BBBD384EA192911E&jrtk=3-0-1furhdn1kr095801-1furhdn1vu1ec800-43380ac6520a6b01--6NYlbfkN0CRptTFv9-hYxyVkNMc6pJyDxAmnav_8yCIFk2FuSuC1EG2GV-zeLpFj6emCYDDtY4yS2hEU2ipkoSzBmxFb__wzbGM4axoEcOeKiHEiMECb_ZW8076aXGqhy7cEmjzRR-D5zZLc-_kCa1OBcZltanFv7e_0dBWfk61FSsqqeygcLYlF7Izt6-NcIZeE9PCFbZIFxfKdGuLIl-SCe3uNYIwk-rRjACogR9MNm_dZaNYs0kzHxBxEduqlorYvujm7zVZCSLVWbkaeXLSqXYjm26R-nzsu3EthJvX1i5khzxuZxmOde66r760b2iD94K3Fl9u-Ne4rlxb8ID_c8Jo_ceebIv23ne86jxrPsoW5KF83too3vw_ah8mav1kJNa7BOJu3hhhM3qfnZmatboTTKEWfyejXkToJgpcBLOveyndysrcz3cyaM5XV4xHMV8qZ-rfgBf4RlNFwR0W-12Zt578qCZcLIGgpBSAslBfwRWd9xoMowDYdvZvHO_eLFtrdyGIWG9QcnO9jKFDKT4FKc3OPRQJx05ODwFgNmdQbKIcXnJ4NJraeouA_Rzv81rBC0ocMknAGr1ElyhD9AYdMhzbZoDSJGxip5FJQzL_4PJO6cH0cRB6r-IcQ3GzeLChngQ4gFYfzoowG274NTMErxLaoeapZ33AYcy7GdzooYh97FOtv758CY0ifRqYv7NxOOjbaDoe5042jXDkljpUtkEDkbiy6ntRN9xR-1qYFobjiwRWPIW3SIkc3QrLr-9Yh_v3tl84QYhMYomGU-KY0pOJABZ-5Tj0XI3xou9XWZ0lFGBWI05p9QJcaC4Q-d_pPYykjNJzJOjX2aBjQ0CcwHk7BhmqaqbwQ0kSrCoX-WjzYw8GZVdTUwKioY60bgVb_BkV8mJtDY2z6F_RmmJL-RUHPW51QfgdvkoV30ZLyQvSM-0fQkfodRSJImBymN4Ett4n3xsDdqzIbsyze1Rv0fB9qom_EozFzmVuJab7cy2WaAMftKJgUiudsjtCMMlAjmasWmZULsCrDaogCGoABihN5EQVTEcelF_otDfwHYUA1ex3IIx5OFiTmo3uEoXOkNfFVsMEksQiKf0sNLv9To66XLqknVoSMMQg7ikub0G8rf4ITsjRgP6kb3t56M9wzRUMk0GqNgmHqJQGca6DcqowBuKr387hvn4=&ctt=1648044369473"
1000008,2022-02-19T00:00:00.000Z,200008,400001,300001,600008,4,"Lexington, KY",59169,105930,82549.5,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/data-scientist-lexmark-international-JV_IC1137677_KO0,14_KE15,36.htm?jl=1007656321127&pos=223&ao=1110586&s=58&guid=0000017fb716dc0a9500f7c854736cd4&src=GD_JOB_AD&t=SR&vt=w&cs=1_dabdf59a&cb=1648044203523&jobListingId=1007656321127&cpc=FDA93C03AE7AED37&jrtk=3-0-1furhdn1kr095801-1furhdn1vu1ec800-c8b47145efd2f2d6--6NYlbfkN0DlJm5ekLVZKb7yxTrHsyT3lh00AYcz9I8foqHenY7JeZY2Qr881R3WpX2SNDLrTJxRggHfQ--eYQQS3ZqiGlbB8utOX0QK9_qA3T1CIx5MB9UdltR-VPZPXi2c0FU6kZIE971xI-pLFZJ2siGNo_kaks7qjjwCsAAZR2FlN7YO11OCrAEiQoTcGEP2r4vcohkYgmYOa8tTFGQHJyixb4uE3rt-NkNkaQBEh-OY1F8el2trMOsJIe7NIHk-jEbrwGq8X4rGTQhxU3B-rUjT8MvHI_93SlExWCKLy2T60td7LtPJUt2BzQ530JBuQyJ8C1f4LSSu9r-ekTX49a6iOWH5-wcWVvOZnibO9pkPXvpWE7pcAMU-X9ltYUBHsNud90CzsktJQKQQ3Viagn7kPkJI5-VO09LLexPztp5AP0C46wgLTJzVWLWVUfvKCFsxbeJY92kQTPRiUfx2PC_DualGxPxcW7PLw8OQrMs0_wvxJw==&ctt=1648044370976"
1000009,2022-03-18T00:00:00.000Z,200009,400005,300003,600009,4,"Atlanta, GA",59130,118658,88894,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/junior-data-scientist-the-coca-cola-company-JV_IC1155583_KO0,21_KE22,43.htm?jl=1007725573200&pos=1802&ao=1136043&s=58&guid=0000017fb717cedd950bfdc0f7e30d21&src=GD_JOB_AD&t=SR&vt=w&cs=1_005c50f0&cb=1648044265698&jobListingId=1007725573200&jrtk=3-0-1furhfjo3r06p801-1furhfjoeq6q4800-11c63c1fa5fc4e33-&ctt=1648044372722"
1000010,2022-03-14T00:00:00.000Z,200010,400006,300001,600010,4,"Seattle, WA",107052,198895,152973.5,ANNUAL,ESTIMATED,"https://www.glassdoor.com/job-listing/data-scientist-machine-learning-twitch-JV_IC1150505_KO0,31_KE32,38.htm?jl=1007714766797&pos=1801&ao=1136043&s=58&guid=0000017fb717cedd950bfdc0f7e30d21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6510728d&cb=1648044265698&jobListingId=1007714766797&jrtk=3-0-1furhfjo3r06p801-1furhfjoeq6q4800-a3351fdb6d599ea1-&ctt=1648044372515"
