jobID,jobTitle,jobSimpleform
400001,Data Scientist,Data Scientist
400002,Staff Data Scientist,Data Scientist
400003,Clinical Data Scientist,Data Scientist
400004,Senior Data Scientist - Operations Decision Science,Data Scientist
400005,Junior Data Scientist,Data Scientist
400006,Data Scientist - Machine Learning,ML Engineer
400007,Sr. Data Scientist,Data Scientist
400008,Entry Level Data Scientist,Data Scientist
400009,Data Scientist 2,Data Scientist
400010,Jr. Data Scientist,Data Scientist
400011,Data Scientist I,Data Scientist
400012,"Associate Data Scientist, Marketing & Online (Remote)",Data Scientist
400013,Senior Data Analyst with Visualization (No sponsorship candidates),Data Analyst
400014,Data Scientist - Clinical Analytics - Evernorth,Data Scientist
400015,Senior NLP Data Scientist,Data Scientist
400016,Healthcare Data Scientist,Data Scientist
400017,"Staff Data Scientist, Partnerships",Data Scientist
400018,"Senior Data Scientist, Marketing Analytics",Data Scientist
400019,Senior Data Scientist - Delivery Insights,Data Scientist
400020,Senior Data Analyst,Data Analyst
400021,"Senior Data Scientist - SHOP (Remote, United States)",Data Scientist
400022,Behavioral Data Scientist,Data Scientist
400023,Senior Data Scientist,Data Scientist
400024,Data Scientist/Engineer,Data Scientist
400025,Data Scientist (100% Remote),Data Scientist
400026,Applied Data Scientist,Data Scientist
400027,Staff Data Scientist- Trust and Security,Data Scientist
400028,Data & Applied Scientist,Data Scientist
400029,"Senior Data Scientist (Remote, United States)",Data Scientist
400030,Senior Data Scientist - Ads Relevance,Data Scientist
400031,Data Analyst,Data Analyst
400032,Data Scientist - Entry Level,Data Scientist
400033,Junior AI/Data Scientist,Data Scientist
400034,Data Scientist/Machine Learning,ML Engineer
400035,Fraud Data Scientist,Data Scientist
400036,Sr Data Scientist,Data Scientist
400037,Data Scientist - Data Visualization,Data Scientist
400038,REMOTE Data Scientist,Data Scientist
400039,"Data Scientist, Product Intelligence",Data Scientist
400040,Data Scientist - OPEN TO 100 REMOTE WORK (US ONLY),Data Scientist
400041,Staff Data Scientist - Recommendations,Data Scientist
400042,Data Scientist (Hybrid/Remote),Data Scientist
400043,Senior Data Scientist - Enterprise Candidate Delivery,Data Scientist
400044,Machine Learning Engineer - Rider Intelligence Team,ML Engineer
400045,Data Scientist II,Data Scientist
400046,Senior Financial Data Analyst - Remote,Data Analyst
400047,Data Scientist - Recommendation Engines,Data Scientist
400048,Sr Data Analyst – Enterprise Data,Data Analyst
400049,"data scientist (multiple openings) - Seattle, WA",Data Scientist
400050,People Products Data Scientist,Data Scientist
400051,Data Scientist (All Levels),Data Scientist
400052,Sr. Data Scientist- Optimization,Data Scientist
400053,Data Scientist - Shipping,Data Scientist
400054,Sr. Data Analyst (Remote),Data Analyst
400055,Machine Learning Scientist,ML Engineer
400056,"Data Scientist, Game Analytics",Data Scientist
400057,"Data Scientist, Product Analytics - Rides, Eats, Grocery, Maps, & Platforms (All Levels)",Data Scientist
