skillsetID,python,apache_spark,aws,excel,sql,sas,keras,pytorch,scikit_learn,tensorflow,hadoop,tableau,powerBI,apache_flink,mongoDB, 
600001,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,
600002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600003,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,
600004,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
600005,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,
600006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
600007,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,
600008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
600010,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
600011,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,
600012,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,
600013,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,
600014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
600015,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,
600016,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
600017,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,
600018,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,
600019,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
600020,1,0,1,1,0,0,0, ,0,0,0,0,0,0,0,
600021,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,
600022,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
600023,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
600024,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
600025,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,
600026,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
600027,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,
600028,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,
600029,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,
600030,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
600031,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,
600032,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
600033,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
600034,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,
600035,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,
600036,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
600037,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,
600038,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
600039,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,
600040,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,
600041,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,
600042,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,
600043,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,
600044,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
600045,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
600046,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
600047,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,
600048,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
600049,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,
600050,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
600051,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,
600052,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
600053,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,
600054,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,
600055,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,
600056,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
600057,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
600058,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,
600059,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,
600060,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,
600061,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,
600062,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,
600063,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
600064,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,
600065,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,
600066,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
600067,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
600068,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
600069,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,
600070,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,
600071,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,
600072,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,
600073,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,
600074,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,
600075,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
600076,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,
600077,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,
600078,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,
600079,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,
600080,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,
